+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                                                                    ;
+----------------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                                                                                ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
; nios_lcd_camera_component_0|u7|read_fifo2|dcfifo_component|auto_generated|ws_brp                                                                         ; 12    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|u7|read_fifo2|dcfifo_component|auto_generated|rs_dgwp|dffpipe18                                                              ; 12    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|u7|read_fifo2|dcfifo_component|auto_generated|rs_dgwp                                                                        ; 12    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|u7|read_fifo2|dcfifo_component|auto_generated|rs_bwp                                                                         ; 12    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|u7|read_fifo2|dcfifo_component|auto_generated|rs_brp                                                                         ; 12    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|u7|read_fifo2|dcfifo_component|auto_generated|rdaclr                                                                         ; 3     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|u7|read_fifo2|dcfifo_component|auto_generated|fifo_ram|altsyncram14                                                          ; 58    ; 17             ; 0            ; 17             ; 16     ; 17              ; 17            ; 17              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|u7|read_fifo2|dcfifo_component|auto_generated|fifo_ram                                                                       ; 40    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|u7|read_fifo2|dcfifo_component|auto_generated|wrptr_gp                                                                       ; 3     ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|u7|read_fifo2|dcfifo_component|auto_generated|wrptr_g1p                                                                      ; 3     ; 0              ; 0            ; 0              ; 0      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|u7|read_fifo2|dcfifo_component|auto_generated|rdptr_g1p                                                                      ; 3     ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|u7|read_fifo2|dcfifo_component|auto_generated|ws_dgrp_gray2bin                                                               ; 10    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|u7|read_fifo2|dcfifo_component|auto_generated|wrptr_g_gray2bin                                                               ; 10    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|u7|read_fifo2|dcfifo_component|auto_generated|rs_dgwp_gray2bin                                                               ; 10    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|u7|read_fifo2|dcfifo_component|auto_generated|rdptr_g_gray2bin                                                               ; 10    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|u7|read_fifo2|dcfifo_component|auto_generated                                                                                ; 21    ; 0              ; 0            ; 0              ; 36     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|u7|read_fifo2                                                                                                                ; 21    ; 0              ; 0            ; 0              ; 35     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|u7|read_fifo1|dcfifo_component|auto_generated|wrfull_eq_comp                                                                 ; 20    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|u7|read_fifo1|dcfifo_component|auto_generated|rdempty_eq_comp                                                                ; 20    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|u7|read_fifo1|dcfifo_component|auto_generated|ws_dgrp|dffpipe22                                                              ; 12    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|u7|read_fifo1|dcfifo_component|auto_generated|ws_dgrp                                                                        ; 12    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|u7|read_fifo1|dcfifo_component|auto_generated|ws_bwp                                                                         ; 12    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|u7|read_fifo1|dcfifo_component|auto_generated|ws_brp                                                                         ; 12    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|u7|read_fifo1|dcfifo_component|auto_generated|rs_dgwp|dffpipe18                                                              ; 12    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|u7|read_fifo1|dcfifo_component|auto_generated|rs_dgwp                                                                        ; 12    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|u7|read_fifo1|dcfifo_component|auto_generated|rs_bwp                                                                         ; 12    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|u7|read_fifo1|dcfifo_component|auto_generated|rs_brp                                                                         ; 12    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|u7|read_fifo1|dcfifo_component|auto_generated|rdaclr                                                                         ; 3     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|u7|read_fifo1|dcfifo_component|auto_generated|fifo_ram|altsyncram14                                                          ; 58    ; 17             ; 0            ; 17             ; 16     ; 17              ; 17            ; 17              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|u7|read_fifo1|dcfifo_component|auto_generated|fifo_ram                                                                       ; 40    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|u7|read_fifo1|dcfifo_component|auto_generated|wrptr_gp                                                                       ; 3     ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|u7|read_fifo1|dcfifo_component|auto_generated|wrptr_g1p                                                                      ; 3     ; 0              ; 0            ; 0              ; 0      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|u7|read_fifo1|dcfifo_component|auto_generated|rdptr_g1p                                                                      ; 3     ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|u7|read_fifo1|dcfifo_component|auto_generated|ws_dgrp_gray2bin                                                               ; 10    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|u7|read_fifo1|dcfifo_component|auto_generated|wrptr_g_gray2bin                                                               ; 10    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|u7|read_fifo1|dcfifo_component|auto_generated|rs_dgwp_gray2bin                                                               ; 10    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|u7|read_fifo1|dcfifo_component|auto_generated|rdptr_g_gray2bin                                                               ; 10    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|u7|read_fifo1|dcfifo_component|auto_generated                                                                                ; 21    ; 0              ; 0            ; 0              ; 36     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|u7|read_fifo1                                                                                                                ; 21    ; 0              ; 0            ; 0              ; 35     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|u7|write_fifo2|dcfifo_component|auto_generated|wrfull_eq_comp                                                                ; 20    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|u7|write_fifo2|dcfifo_component|auto_generated|rdempty_eq_comp                                                               ; 20    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|u7|write_fifo2|dcfifo_component|auto_generated|ws_dgrp|dffpipe22                                                             ; 12    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|u7|write_fifo2|dcfifo_component|auto_generated|ws_dgrp                                                                       ; 12    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|u7|write_fifo2|dcfifo_component|auto_generated|ws_bwp                                                                        ; 12    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|u7|write_fifo2|dcfifo_component|auto_generated|ws_brp                                                                        ; 12    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|u7|write_fifo2|dcfifo_component|auto_generated|rs_dgwp|dffpipe18                                                             ; 12    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|u7|write_fifo2|dcfifo_component|auto_generated|rs_dgwp                                                                       ; 12    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|u7|write_fifo2|dcfifo_component|auto_generated|rs_bwp                                                                        ; 12    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|u7|write_fifo2|dcfifo_component|auto_generated|rs_brp                                                                        ; 12    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|u7|write_fifo2|dcfifo_component|auto_generated|rdaclr                                                                        ; 3     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|u7|write_fifo2|dcfifo_component|auto_generated|fifo_ram|altsyncram14                                                         ; 58    ; 17             ; 0            ; 17             ; 16     ; 17              ; 17            ; 17              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|u7|write_fifo2|dcfifo_component|auto_generated|fifo_ram                                                                      ; 40    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|u7|write_fifo2|dcfifo_component|auto_generated|wrptr_gp                                                                      ; 3     ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|u7|write_fifo2|dcfifo_component|auto_generated|wrptr_g1p                                                                     ; 3     ; 0              ; 0            ; 0              ; 0      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|u7|write_fifo2|dcfifo_component|auto_generated|rdptr_g1p                                                                     ; 3     ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|u7|write_fifo2|dcfifo_component|auto_generated|ws_dgrp_gray2bin                                                              ; 10    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|u7|write_fifo2|dcfifo_component|auto_generated|wrptr_g_gray2bin                                                              ; 10    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|u7|write_fifo2|dcfifo_component|auto_generated|rs_dgwp_gray2bin                                                              ; 10    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|u7|write_fifo2|dcfifo_component|auto_generated|rdptr_g_gray2bin                                                              ; 10    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|u7|write_fifo2|dcfifo_component|auto_generated                                                                               ; 21    ; 0              ; 0            ; 0              ; 36     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|u7|write_fifo2                                                                                                               ; 21    ; 0              ; 0            ; 0              ; 35     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|u7|write_fifo1|dcfifo_component|auto_generated|wrfull_eq_comp                                                                ; 20    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|u7|write_fifo1|dcfifo_component|auto_generated|rdempty_eq_comp                                                               ; 20    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|u7|write_fifo1|dcfifo_component|auto_generated|ws_dgrp|dffpipe22                                                             ; 12    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|u7|write_fifo1|dcfifo_component|auto_generated|ws_dgrp                                                                       ; 12    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|u7|write_fifo1|dcfifo_component|auto_generated|ws_bwp                                                                        ; 12    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|u7|write_fifo1|dcfifo_component|auto_generated|ws_brp                                                                        ; 12    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|u7|write_fifo1|dcfifo_component|auto_generated|rs_dgwp|dffpipe18                                                             ; 12    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|u7|write_fifo1|dcfifo_component|auto_generated|rs_dgwp                                                                       ; 12    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|u7|write_fifo1|dcfifo_component|auto_generated|rs_bwp                                                                        ; 12    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|u7|write_fifo1|dcfifo_component|auto_generated|rs_brp                                                                        ; 12    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|u7|write_fifo1|dcfifo_component|auto_generated|rdaclr                                                                        ; 3     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|u7|write_fifo1|dcfifo_component|auto_generated|fifo_ram|altsyncram14                                                         ; 58    ; 17             ; 0            ; 17             ; 16     ; 17              ; 17            ; 17              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|u7|write_fifo1|dcfifo_component|auto_generated|fifo_ram                                                                      ; 40    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|u7|write_fifo1|dcfifo_component|auto_generated|wrptr_gp                                                                      ; 3     ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|u7|write_fifo1|dcfifo_component|auto_generated|wrptr_g1p                                                                     ; 3     ; 0              ; 0            ; 0              ; 0      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|u7|write_fifo1|dcfifo_component|auto_generated|rdptr_g1p                                                                     ; 3     ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|u7|write_fifo1|dcfifo_component|auto_generated|ws_dgrp_gray2bin                                                              ; 10    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|u7|write_fifo1|dcfifo_component|auto_generated|wrptr_g_gray2bin                                                              ; 10    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|u7|write_fifo1|dcfifo_component|auto_generated|rs_dgwp_gray2bin                                                              ; 10    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|u7|write_fifo1|dcfifo_component|auto_generated|rdptr_g_gray2bin                                                              ; 10    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|u7|write_fifo1|dcfifo_component|auto_generated                                                                               ; 21    ; 0              ; 0            ; 0              ; 36     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|u7|write_fifo1                                                                                                               ; 21    ; 0              ; 0            ; 0              ; 35     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|u7|data_path1                                                                                                                ; 20    ; 2              ; 0            ; 2              ; 18     ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|u7|command1                                                                                                                  ; 35    ; 0              ; 2            ; 0              ; 23     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|u7|control1                                                                                                                  ; 30    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|u7|sdram_pll1                                                                                                                ; 1     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|u7                                                                                                                           ; 40    ; 1              ; 0            ; 1              ; 54     ; 1               ; 1             ; 1               ; 16    ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|Nios_Console_unit                                                                                                            ; 72    ; 16             ; 17           ; 16             ; 82     ; 16              ; 16            ; 16              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|LCD_Console_unit|Character_Map|altsyncram_component|auto_generated                                                           ; 55    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|LCD_Console_unit|Character_Map                                                                                               ; 55    ; 17             ; 0            ; 17             ; 32     ; 17              ; 17            ; 17              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|LCD_Console_unit|Button_Labels|altsyncram_component|auto_generated                                                           ; 35    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|LCD_Console_unit|Button_Labels                                                                                               ; 35    ; 9              ; 0            ; 9              ; 16     ; 9               ; 9             ; 9               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|LCD_Console_unit                                                                                                             ; 98    ; 0              ; 0            ; 0              ; 48     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|Filter_Pipe_unit|Filter_RAM_B1|altsyncram_component|auto_generated                                                           ; 39    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|Filter_Pipe_unit|Filter_RAM_B1                                                                                               ; 39    ; 9              ; 0            ; 9              ; 8      ; 9               ; 9             ; 9               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|Filter_Pipe_unit|Filter_RAM_G1|altsyncram_component|auto_generated                                                           ; 39    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|Filter_Pipe_unit|Filter_RAM_G1                                                                                               ; 39    ; 9              ; 0            ; 9              ; 8      ; 9               ; 9             ; 9               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|Filter_Pipe_unit|Filter_RAM_R1|altsyncram_component|auto_generated                                                           ; 39    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|Filter_Pipe_unit|Filter_RAM_R1                                                                                               ; 39    ; 9              ; 0            ; 9              ; 8      ; 9               ; 9             ; 9               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|Filter_Pipe_unit|Filter_RAM_Bp1|altsyncram_component|auto_generated                                                          ; 39    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|Filter_Pipe_unit|Filter_RAM_Bp1                                                                                              ; 39    ; 9              ; 0            ; 9              ; 16     ; 9               ; 9             ; 9               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|Filter_Pipe_unit|Filter_RAM_Gp1|altsyncram_component|auto_generated                                                          ; 39    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|Filter_Pipe_unit|Filter_RAM_Gp1                                                                                              ; 39    ; 9              ; 0            ; 9              ; 16     ; 9               ; 9             ; 9               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|Filter_Pipe_unit|Filter_RAM_Rp1|altsyncram_component|auto_generated                                                          ; 39    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|Filter_Pipe_unit|Filter_RAM_Rp1                                                                                              ; 39    ; 9              ; 0            ; 9              ; 16     ; 9               ; 9             ; 9               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|Filter_Pipe_unit|Filter_RAM_B0|altsyncram_component|auto_generated                                                           ; 39    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|Filter_Pipe_unit|Filter_RAM_B0                                                                                               ; 39    ; 9              ; 0            ; 9              ; 16     ; 9               ; 9             ; 9               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|Filter_Pipe_unit|Filter_RAM_G0|altsyncram_component|auto_generated                                                           ; 39    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|Filter_Pipe_unit|Filter_RAM_G0                                                                                               ; 39    ; 9              ; 0            ; 9              ; 16     ; 9               ; 9             ; 9               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|Filter_Pipe_unit|Filter_RAM_R0|altsyncram_component|auto_generated                                                           ; 39    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|Filter_Pipe_unit|Filter_RAM_R0                                                                                               ; 39    ; 9              ; 0            ; 9              ; 16     ; 9               ; 9             ; 9               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|Filter_Pipe_unit|Filter_RAM_Bm1|altsyncram_component|auto_generated                                                          ; 39    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|Filter_Pipe_unit|Filter_RAM_Bm1                                                                                              ; 39    ; 9              ; 0            ; 9              ; 8      ; 9               ; 9             ; 9               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_lcd_camera_component_0|Filter_Pipe_unit|Filter_RAM_Gm1|altsyncram_component|auto_generated                                                          ; 39    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
